Age,BirthYear,Gender,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Study,avg_click_att,reclick_percent_att,avg_click_norm,reclick_percent_norm,avg_x_dist,avg_euc_dist,avg_euc_speed,avg_completion_time,total_pause_cnt,description,Extraversion_N,Agreeableness_N,Conscientiousness_N,Neuroticism_N,Openness_N,avg_fixation_dur,avg_agg_fixation_dur,avg_fixation_cnt,Mturk_ID,Area_Under_Curve,Task_duration,Abs_Area_Under_Curve,pseudo_workerID
45,1975,Female,20,33,40,34,48,study01,6.307692307692308,0.1153846153846154,5.520547945205481,0.2054794520547945,4607.939393939394,6144.443127913332,0.5005848765357629,12513.838383838383,1,like,2.5,3.6666666666666665,4.4444444444444455,4.25,4.8,639.1192554952805,5900.080808080808,9.282828282828284,APUPF3D94XYUQ,0.872804799946068,838.623,0.372804799946068,P4499305916
29,1991,Male,31,44,43,10,43,study01,6.8461538461538485,0.38461538461538464,5.808219178082192,0.3424657534246575,5440.823232323231,7322.577196959537,0.4533660679660576,22252.74747474748,41,like,3.875,4.888888888888889,4.777777777777779,1.25,4.3,953.3378065009557,11361.969696969694,10.404040404040405,A10O5YR01H865K,0.724110543701756,1660.192,0.224110543701756,P4155053201
58,1962,Male,13,31,21,35,37,study01,6.3461538461538485,0.2692307692307692,5.493150684931507,0.1917808219178082,3031.7272727272725,3939.286111284429,0.22698473379813786,17974.49494949495,45,like,1.625,3.4444444444444446,2.333333333333333,4.375,3.7,1542.937230292154,12965.383838383841,8.696969696969697,A2CF2BD4Q0ZDJN,0.7426981157515079,1185.066,0.2426981157515079,P5225207817
30,1990,Male,33,19,25,15,38,study01,6.307692307692308,0.2307692307692308,5.424657534246576,0.273972602739726,4313.424242424242,5434.6403995190785,0.5230485764113505,10632.616161616159,35,like,4.125,2.1111111111111107,2.7777777777777777,1.875,3.8,457.05062019910514,2270.949494949495,4.818181818181818,A2XFO0X6RCS98M,0.7330704149391579,980.555,0.2330704149391579,P2861241016
46,1974,Male,14,38,33,21,47,study01,6.6923076923076925,0.4230769230769231,5.205479452054795,0.0684931506849315,2755.7575757575764,3723.3537893138373,0.3863589869420594,9655.0101010101,2,like,1.75,4.2222222222222205,3.6666666666666665,2.625,4.7,646.8485744894839,3846.6161616161617,6.050505050505049,AEDJXOPWQULR4,0.6816875653082549,926.188,0.18168756530825486,P4818474577
29,1991,Male,15,33,44,12,14,study01,6.230769230769233,0.15384615384615385,5.6438356164383565,0.3287671232876712,4011.949494949495,5125.783642199801,0.4700615614063932,11497.101010101009,4,like,1.875,3.6666666666666665,4.888888888888889,1.5,1.4,665.7759626695673,5075.646464646465,7.8888888888888875,A2C73Y1COWCA51,0.751388327097448,962.679,0.251388327097448,P5597074612
41,1979,Male,12,31,26,30,31,study01,6.1923076923076925,0.07692307692307693,5.109589041095892,0.0547945205479452,3293.050505050505,4073.966832213053,0.3745582289202217,11271.050505050503,4,like,1.5,3.4444444444444446,2.888888888888889,3.75,3.1,906.0807908141237,6304.191919191921,7.191919191919192,A2AZYU1CT24O0K,0.79595383759733,1077.617,0.29595383759733,P8791518942
36,1984,Female,13,32,43,34,21,study01,6.461538461538463,0.2692307692307692,5.287671232876712,0.136986301369863,2846.808080808081,3887.93264017274,0.3911533314026832,9968.181818181818,2,like,1.625,3.555555555555556,4.777777777777779,4.25,2.1,781.4865314819863,5407.858585858586,7.101010101010102,A1TLNLB9D87H6,0.8204549667981259,1021.362,0.3204549667981259,P3213679578
47,1973,Male,10,22,21,35,35,study01,6.384615384615384,0.19230769230769232,5.328767123287672,0.1643835616438356,4750.959595959596,6324.850639999803,0.5818813075382753,10856.9898989899,1,like,1.25,2.4444444444444446,2.333333333333333,4.375,3.5,690.7101512750801,5060.363636363636,7.505050505050505,A2L26DMSVUEDP6,0.595887265311626,5539.958000000001,0.09588726531162596,P8460037552
36,1984,Male,25,29,32,19,37,study01,6.0769230769230775,0.07692307692307693,5.095890410958903,0.0547945205479452,2534.717171717172,3468.9775836371778,0.35232764280956497,9941.545454545454,1,like,3.125,3.2222222222222223,3.555555555555556,2.375,3.7,552.6465839336606,4818.151515151515,8.717171717171718,A5Q0UTSKAI2TQ,0.734220682913675,912.579,0.23422068291367504,P3917637521
44,1976,Male,24,22,27,26,31,study01,6.115384615384616,0.07692307692307693,5.219178082191782,0.1095890410958904,2449.646464646465,3348.0085995842223,0.35823844074720723,9604.959595959595,15,like,3.0,2.4444444444444446,3.0,3.25,3.1,751.3057479557477,4399.141414141414,5.909090909090909,A3VF5Y2MXKJPEA,0.618981106953854,1071.216,0.118981106953854,P5477831922
27,1993,Male,26,26,27,21,25,study01,6.769230769230767,0.2692307692307692,5.095890410958903,0.0958904109589041,2067.060606060606,2866.1308651654435,0.2725670652477354,14941.141414141412,68,like,3.25,2.888888888888889,3.0,2.625,2.5,2291.461139169473,8302.060606060606,4.212121212121212,A3HZFB2JLF3JMY,0.512464082430032,971.273,0.012464082430032051,P3413732028
27,1993,Female,12,36,24,28,34,study01,6.730769230769233,0.4230769230769231,5.356164383561644,0.2054794520547945,2916.767676767677,3946.898034126556,0.3889391423869663,10110.878787878788,1,like,1.5,4.0,2.6666666666666665,3.5,3.4,778.3967933301265,5161.616161616162,6.878787878787879,A3JDWMS5QJHREI,0.771829810901001,901.787,0.271829810901001,P9150508021
